date,tempF
1/1/2022,47.7
1/2/2022,47.7
1/3/2022,47.5
1/4/2022,47.5
1/5/2022,48.0
1/6/2022,47.8
1/7/2022,47.5
1/8/2022,46.9
1/9/2022,47.3
1/10/2022,47.1
1/11/2022,46.2
1/12/2022,46.4
1/13/2022,46.6
1/14/2022,46.4
1/15/2022,45.3
1/16/2022,45.1
1/17/2022,44.8
1/18/2022,44.2
1/19/2022,44.8
1/20/2022,44.8
1/21/2022,44.2
1/22/2022,43.5
1/23/2022,44.2
1/24/2022,44.2
1/25/2022,43.5
1/26/2022,43.9
1/27/2022,43.9
1/28/2022,43.9
1/29/2022,43.3
1/30/2022,42.6
1/31/2022,42.3
1/1/2021,45.1
1/2/2021,44.6
1/3/2021,44.8
1/4/2021,44.6
1/5/2021,44.6
1/6/2021,44.6
1/7/2021,44.8
1/8/2021,44.1
1/9/2021,44.2
1/10/2021,43.9
1/11/2021,43.5
1/12/2021,43.3
1/13/2021,43.3
1/14/2021,43.3
1/15/2021,43.3
1/16/2021,43.5
1/17/2021,43.0
1/18/2021,43.3
1/19/2021,43.2
1/20/2021,43.2
1/21/2021,42.8
1/22/2021,43.0
1/23/2021,42.8
1/24/2021,42.1
1/25/2021,42.3
1/26/2021,42.1
1/27/2021,42.1
1/28/2021,42.1
1/29/2021,41.2
1/30/2021,40.6
1/31/2021,40.6
1/1/2020,44.4
1/2/2020,44.4
1/3/2020,44.6
1/4/2020,44.2
1/5/2020,44.1
1/6/2020,43.9
1/7/2020,43.3
1/8/2020,43.5
1/9/2020,43.3
1/10/2020,43.5
1/11/2020,43.5
1/12/2020,43.5
1/13/2020,43.9
1/14/2020,43.9
1/15/2020,43.7
1/16/2020,43.5
1/17/2020,43.3
1/18/2020,44.1
1/19/2020,43.3
1/20/2020,42.3
1/21/2020,42.1
1/22/2020,42.3
1/23/2020,42.4
1/24/2020,42.4
1/25/2020,42.6
1/26/2020,42.3
1/27/2020,41.7
1/28/2020,41.9
1/29/2020,41.5
1/30/2020,41.9
1/31/2020,41.4
1/1/2019,44.6
1/2/2019,44.2
1/3/2019,44.1
1/4/2019,43.9
1/5/2019,44.1
1/6/2019,43.7
1/7/2019,43.7
1/8/2019,43.9
1/9/2019,43.7
1/10/2019,43.5
1/11/2019,42.8
1/12/2019,42.8
1/13/2019,42.8
1/14/2019,42.6
1/15/2019,42.3
1/16/2019,42.1
1/17/2019,41.9
1/18/2019,42.1
1/19/2019,42.1
1/20/2019,41.7
1/21/2019,41.4
1/22/2019,41.0
1/23/2019,41.0
1/24/2019,41.2
1/25/2019,40.8
1/26/2019,40.6
1/27/2019,40.6
1/28/2019,40.3
1/29/2019,40.8
1/30/2019,40.6
1/31/2019,39.9
1/1/2018,43.7
1/2/2018,43.2
